mtWmPoiId,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,name
149374,627,43,55,5,5,true,false,0,false,真功夫（E世界）
892971,878,48,36,4,15,false,false,0,false,好私烧便当
1736707,473,47,30,5,20,true,false,0,true,永和大王（中关村鼎好BJ041）
794513,1207,47,46,6,20,true,false,0,true,局气(五道口店)
620394,198,47,30,5,20,true,false,0,true,四爷牛拉（中关村店）
1445000,400,48,30,3,20,false,false,0,false,秦陇小馆（苏州街店）
1754593,2810,46,35,2,0,false,false,0,false,螺蛳粉先生（中关村店）
1845225,174,48,51,15,0,true,false,0,false,蛙蛙叫干锅年代（五道口店）
786499,2023,45,37,2,15,false,false,0,false,三顾堂（中关村店）
2367554,604,45,31,5,0,false,false,1,false,云南米线（巧娘子）
233900,1197,48,41,6,50,true,false,0,false,首迩紫菜包饭（大运村老店）
379288,423,44,30,6,20,true,false,0,true,面香八方（苏州街店）
1950941,103,37,31,3,0,false,false,1,false,海盗煎饼
2187603,2273,48,34,4,5,false,false,0,false,瑰族-创意餐厅（五道口店）
373678,256,46,30,7,20,true,false,0,true,西贝莜面村（北京西苑星悦荟店）
1467562,132,47,30,5,20,true,false,0,true,麻尚送麻辣香锅（中关村店）
347464,1298,47,31,4,15,false,false,0,false,杨国福麻辣烫（五道口店）
183757,1397,46,30,6,25,true,false,0,true,鸿毛饺子（电子大厦店）
770584,1058,44,32,4,0,false,false,0,false,晋味刀削面（黄焖鸡米饭）
1784341,399,47,33,5,20,true,false,0,true,花家怡园（清华西路店）
2158066,187,47,33,3,20,true,false,0,false,继光香香鸡（中关村食宝街店）
2045684,874,47,33,4,0,false,false,0,false,冯记老鸭粉丝汤
622865,1582,47,32,4,15,true,false,0,false,康师傅私房牛肉面(东源店)
620604,444,48,30,5,20,true,false,0,true,赛百味（清华科技园店）
521152,375,49,54,15,100,false,false,0,false,云龙麻辣香锅
956527,871,45,32,3,0,false,false,0,false,清真来一碗牛肉面酷串吧
541505,401,46,31,3,15,false,false,0,false,虎头军煎饼（中关村店）
21752,595,49,30,6,20,true,false,0,true,李先生加州牛肉面（海淀黄庄店）
229821,898,46,30,3,0,true,false,0,false,无名缘米粉（保福寺桥店）
1832393,2463,44,42,2,0,false,false,0,false,状元过桥米线
1442652,372,48,33,4,15,false,false,0,false,鲜粮卷饼王（五道口店）
2209362,366,47,36,3,15,false,false,0,false,小七家饺子
1850003,116,45,36,2,0,false,false,0,false,小仙蒸菜（中关村店）
656370,193,46,30,7,20,false,false,0,true,天使食府
266968,491,47,36,2,15,false,false,0,false,美味锅贴
443176,501,48,40,6,16,true,false,0,false,丽华快餐(圆明园)
866564,87,49,39,3,20,true,false,0,false,满座儿(银网店)
2345884,44,44,33,3,20,false,false,0,false,無介米线
2383784,35,47,32,3,15,false,false,1,false,一碗情深麻辣烫炸鸡
813028,249,47,41,9,25,false,false,0,false,王子名凉皮
792199,190,49,30,6,20,true,false,0,true,永和大王（中关二店BJ026）
347821,99,45,36,5,20,false,false,0,true,红辣子精品湘菜（成府路店）
784820,3141,44,34,3,0,false,false,0,false,小米粒粥铺（中关村店）
1634278,1958,46,36,4,0,false,false,0,false,年年余老坛酸菜鱼
1926162,208,47,31,6,20,false,false,0,true,犟小面（欧美汇购物中心店）
2080687,215,45,37,4,0,false,false,0,false,FAST BURGER(快汉堡)
641321,422,46,36,5,20,false,false,0,true,东方宫兰州牛肉拉面（五道口店）
636108,1013,48,30,8,20,true,false,0,true,辣尚瘾（人大店）
2197483,357,48,41,3,15,false,false,0,false,鲜粮卷饼王（中关村店）
623145,327,47,34,3,15,true,false,0,false,静莲斋素食（中关村店）
2273602,60,41,50,3,0,false,false,1,false,刘小鱼铁板炒饭
2198661,353,47,37,4,0,false,false,0,false,食光脆皮鸡排饭
1923036,50,50,34,3,15,false,false,0,false,咖喱虎
2316492,276,47,36,3,0,false,false,0,false,门框百年卤煮（中关村店）
364871,117,43,40,6,20,true,false,0,true,乐食派麻辣香锅(新中关店)
24380,1087,48,30,3,0,false,false,0,false,虎头军煎饼（五道口店）
2315860,188,45,38,4,0,false,false,0,false,明洞邦韩国料理（总店）
802986,1224,42,34,4,0,false,false,0,false,麻辣香锅
1454247,455,46,39,15,25,false,false,0,false,品椒嗨辣（北京店）
909070,139,50,46,2,50,false,false,0,false,HappyChicken炸鸡
639570,134,48,30,3,15,false,false,0,false,故乡酒家冷面大王（北大店）
2054242,600,45,33,2,0,false,false,0,false,蒸骨专家（中关村店）
351055,218,48,30,3,20,false,false,0,false,回头客麻辣烫（长远天地）
2245709,62,43,37,4,20,true,false,0,false,Oumuni韩式炸鸡（五道口店）
138216,295,47,62,0,80,true,false,0,false,乌巢比萨主义主题餐厅（五道口店）
98015,102,49,63,7,20,true,false,0,false,和合谷(海淀区海龙店)
1073313,71,45,31,3,15,false,false,0,false,黄焖鸡米饭(凉皮凉面牛筋面)
2423083,29,44,34,4,0,false,false,1,false,川湘味麻辣香锅
1691899,71,50,31,5,20,false,false,0,true,山外
1563,955,47,30,6,15,false,false,0,false,金果利来
1952986,516,44,36,4,0,false,false,0,false,宜宾燃面&盖浇饭
219035,94,42,30,5,20,false,false,0,true,麒麟雅苑
1651097,446,44,35,3,15,false,false,0,false,轻新派健康小份菜（财智大厦店）
679975,376,47,30,3,15,true,false,0,false,秦唐味道
725433,158,45,31,3,15,false,false,0,false,私菜益汤
184021,166,44,30,3,15,false,false,0,false,黄焖鸡米饭·重庆小面
509259,159,48,33,9,20,true,false,0,true,必胜客（紫金店）
1341030,142,47,30,5,30,true,false,0,true,张记平娃三宝(畅春园店)
2165657,65,48,33,4,0,false,false,0,false,宏量阿拉伯烤肉拌饭
622350,49,50,36,5,20,true,false,0,true,铁锅一居（中关村店）
1847097,94,48,30,4,0,false,false,0,false,沙县精品（千食百味）
839506,173,46,30,2,0,false,false,0,false,老火记香河肉饼过桥米线黄焖鸡
437744,1122,44,44,7,55,false,false,0,false,贝克汉堡
2366145,7,0,45,5,20,false,false,1,true,热啊东南亚餐厅（中关村店）
373089,118,50,30,7,20,false,false,0,true,杨国福麻辣烫（苏州街店）
1840360,151,42,38,2,0,false,false,0,false,饼大王正宗武汉热干面
384813,393,44,30,3,15,true,false,0,false,小豆面馆(北大南门店)
2025732,707,36,43,2,0,false,false,0,false,咱家炒菜盖饭
892438,144,48,36,6,20,false,false,0,true,舍廊房韩国料理（五道口店）
1327547,324,49,35,3,0,false,false,0,false,京嘴儿（五道口店）
2087592,119,46,52,10,40,false,false,0,false,炸鸡＆啤酒（人大店）
178993,271,45,39,7,35,true,false,0,true,鹿港小镇(中关村店)
2007282,77,44,38,3,0,false,false,0,false,北京粥饼（中关村店）
302447,243,41,35,3,15,false,false,0,false,春亮麻辣烫
2269417,1951,45,39,5,0,false,false,0,false,小煮夫鸭血粉丝汤（凉皮）
318838,264,48,70,0,100,true,false,0,false,站点比萨（中关村餐厅）
782344,76,43,43,5,50,false,false,0,false,晋豫羊汤
996722,263,47,30,6,20,true,false,0,true,好麦道（海淀中街店）
1686159,186,47,30,6,20,false,false,0,true,胜负韩国料理
2054989,87,43,43,3,0,false,false,0,false,木木韩式料理石锅拌饭
678408,218,47,30,6,20,true,false,0,true,赛百味（苏州街店）
1859825,214,47,42,3,0,false,false,0,false,比萨壮
549682,307,47,53,0,50,false,false,0,false,火鬼披萨（五道口店）
78280,530,45,30,5,0,false,false,0,false,三口品云南过桥米线
802600,129,48,37,5,20,true,false,0,true,laker‘s披萨(五道口店）
2337707,297,45,32,4,0,false,false,0,false,渝味轩（中关村店）
151599,168,48,31,6,20,true,false,0,true,金汤玉线（中关村家乐福店）
1561995,4405,46,37,4,0,false,false,0,false,嘟嘟烤肉拌饭
140847,185,47,37,4,0,false,false,0,false,一锅香过桥米线
2368613,378,44,35,3,0,false,false,0,false,徐记滑蛋饭
1174300,47,50,31,7,20,true,false,0,true,味千拉面(西苑店)
540599,150,48,42,3,15,false,false,0,false,龙香记桂林米粉
640804,208,48,36,3,0,false,false,0,false,西域美食坊（清真店）
638055,86,47,32,5,20,false,false,0,true,他二哥刀削面（财智店）
1733634,43,50,36,6,20,true,false,0,true,Sizzler时时乐(欧美汇店)
1613861,110,48,34,4,0,false,false,0,false,食光餐厅
354773,203,47,30,6,20,true,false,0,true,云海肴·云南菜(亭云西苑店)
2105466,51,45,36,3,20,false,false,0,false,重庆蒋氏麻辣烫·冒菜
479307,3750,45,30,7,15,true,false,0,false,嘉和一品粥（知春路二店）
1498026,671,48,30,4,0,false,false,0,false,砂锅面吧
463072,41,47,30,6,20,true,false,0,true,赛百味（海龙大厦店）
2316146,63,46,40,4,0,false,false,0,false,明洞排骨(流忙村)
846465,200,47,40,5,20,false,false,0,true,嗨肥肠牛肠锅猪蹄锅
262897,266,47,30,3,15,false,false,0,false,沙县小吃（中关村一桥店）
1748608,123,48,36,6,20,false,false,0,true,95号酱骨•一块豆腐
1907169,64,44,30,5,20,false,false,0,true,粉之都米粉主题餐厅
775576,489,48,35,7,20,false,false,0,true,一志寿司铁板烧（学院路店）
2051083,1488,46,37,3,0,false,false,0,false,台湾第1大鸡排（中关村店）
2417614,32,0,40,4,15,false,false,1,false,小宝快餐（五道口店）
710402,163,48,36,5,20,true,false,0,true,羲和雅苑烤鸭坊（中关村店）
807,130,48,30,6,20,true,false,0,true,赛百味(西苑店)
311118,118,40,60,3,0,false,false,0,false,杨铭宇黄焖鸡米饭（北一街店）
624215,414,48,30,8,20,true,false,0,true,九头鹰酒家（苏州桥店）
1297542,263,47,65,15,0,true,false,0,false,叫个鸡高端炸鸡店
64135,441,46,30,4,20,true,false,0,false,杨国福麻辣烫（人大学生创业店）
1258514,89,47,30,6,20,true,false,0,true,拌30
559459,202,48,61,8,35,false,false,0,false,宋记驴肉火烧
789853,53,49,45,6,50,false,false,0,true,唐西餐厅Donald Brown
355656,288,45,30,5,15,false,false,0,false,古秦食韵
1295998,31,47,34,5,20,false,false,0,true,滇越乘象云南特色餐厅
1197988,71,39,30,3,20,false,false,0,false,乔掌柜黄焖鸡
2398057,57,49,66,16,49,false,false,1,false,CFB炸鸡啤酒（上地华联店）
1817681,199,46,38,6,20,true,false,0,true,千煲鲜寻•柠檬酸菜鱼
347929,235,42,34,6,20,false,false,0,true,大瓦罐湘土菜
2312468,884,41,37,3,0,false,false,0,false,知心百味木桶饭（中关村店）
549763,187,47,31,6,20,false,false,0,true,LUSH（成府路店）
2129549,143,46,30,3,20,true,false,1,false,三嫂薄皮包子（中关村店）
763201,936,47,37,4,0,false,false,0,false,章鱼烧手抓饼
742311,176,47,34,5,20,true,false,0,true,小陕娃biangbiang面（五道口店）
781898,378,48,38,3,20,true,false,0,false,池田回转寿司（新中关店）
656696,244,46,30,7,20,false,false,0,true,集天餐厅(人民大学店)
2088913,118,48,30,3,15,false,false,0,false,忆天香饺子家常菜
632353,180,45,36,7,20,true,false,0,true,赛百味（万柳店）
