lng,lat,mtWmPoiId,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,name
116.29,39.94,112780,3383,47,30,6,20,true,false,0,true,"嘉和一品粥(北洼路店)"
116.29,39.94,1757868,3303,48,36,3,0,true,false,0,false,"小火慢炖排骨米饭"
116.29,39.94,498,3171,47,32,6,30,true,false,0,true,"宏状元(花园桥店)"
116.29,39.94,379616,3083,46,32,4,25,true,false,0,false,"张亮麻辣烫（田村店）"
116.29,39.94,819242,3016,45,37,3,15,true,false,0,false,"小暖便当（紫竹桥店）"
116.29,39.94,1429281,2768,48,33,3,15,true,false,0,false,"叫了个鸡（紫竹桥店）"
116.29,39.94,1884728,2755,48,31,4,0,false,false,0,false,"桃园煲仔饭（魏公村店）"
116.29,39.94,1611467,2739,48,34,3,15,true,false,0,false,"虾饭先生（航天桥店）"
116.3,39.94,164948,6351,48,61,6,20,true,false,0,false,"果腿儿鲜果切"
116.3,39.94,19177,5836,47,67,20,0,true,false,0,false,"麻辣诱惑·麻辣小龙虾·麻小外卖"
116.3,39.94,12721,5749,48,37,26,0,false,false,0,false,"极速汉堡"
116.3,39.94,998212,5467,47,36,6,20,false,false,0,false,"小俩口烤肉拌饭"
116.3,39.94,312176,5407,44,33,5,20,false,false,0,false,"大粥锅（万寿路店）"
116.3,39.94,356830,5289,46,30,5,20,true,false,0,true,"田老师红烧肉(紫竹院一店)"
116.3,39.94,417468,5193,44,33,4,0,true,false,0,false,"张亮麻辣烫（金源店）"
116.3,39.94,943862,5185,47,68,8,0,true,false,0,false,"老婆很芒"
116.3,39.94,52602,5130,47,36,5,0,true,false,0,false,"第1佳大鸡排（人大学生创店）"
116.3,39.94,339510,4890,46,35,3,15,true,false,0,false,"张亮麻辣烫（厂洼店）"
116.3,39.94,17765,4707,46,36,4,15,false,false,0,false,"东北特味"
116.3,39.94,1030344,4629,46,30,5,20,true,false,0,false,"张亮麻辣烫（金沟河店）"
116.3,39.94,325764,4214,48,38,6,30,true,false,0,true,"京味斋(北洼路)"
116.3,39.94,651617,3946,47,34,4,15,false,false,0,false,"东北老杨麻辣拌"
116.3,39.94,1477504,3770,46,32,3,15,true,false,0,false,"张亮麻辣烫（魏公村店）"
116.3,39.94,1803304,3702,46,35,3,20,false,false,0,false,"李记 凉皮肉夹馍"
116.3,39.94,1081706,3564,48,61,8,0,true,false,0,false,"果腿儿鲜果切"
116.3,39.94,458637,3516,46,34,3,15,true,false,0,false,"焦耳川式快餐（航天桥店）"
116.3,39.94,1841420,3472,47,34,3,15,false,false,0,false,"张亮麻辣烫（紫竹桥店）"
116.3,39.94,112780,3383,47,30,6,20,true,false,0,true,"嘉和一品粥(北洼路店)"
116.3,39.94,1757868,3303,48,36,3,0,true,false,0,false,"小火慢炖排骨米饭"
116.3,39.94,498,3171,47,30,6,30,true,false,0,true,"宏状元(花园桥店)"
116.3,39.94,379616,3083,46,32,5,25,true,false,0,false,"张亮麻辣烫（田村店）"
116.3,39.94,819242,3016,45,37,3,15,true,false,0,false,"小暖便当（紫竹桥店）"
116.31,39.94,164948,6351,48,61,6,20,true,false,0,false,"果腿儿鲜果切"
116.31,39.94,1264698,5912,45,37,5,15,false,false,0,false,"云南过桥米线（人大店）"
116.31,39.94,19177,5836,47,67,20,0,true,false,0,false,"麻辣诱惑·麻辣小龙虾·麻小外卖"
116.31,39.94,12721,5749,48,37,26,0,false,false,0,false,"极速汉堡"
116.31,39.94,998212,5467,47,36,4,20,false,false,0,false,"小俩口烤肉拌饭"
116.31,39.94,312176,5407,44,33,5,20,false,false,0,false,"大粥锅（万寿路店）"
116.31,39.94,356830,5289,46,30,5,20,true,false,0,true,"田老师红烧肉(紫竹院一店)"
116.31,39.94,943862,5185,47,68,6,0,true,false,0,false,"老婆很芒"
116.31,39.94,52602,5130,47,36,5,0,true,false,0,false,"第1佳大鸡排（人大学创业店）"
116.31,39.94,576322,5009,47,37,7,20,false,false,0,false,"湘香小厨"
116.31,39.94,339510,4890,46,35,3,15,true,false,0,false,"张亮麻辣烫（厂洼店）"
116.31,39.94,17765,4707,46,36,4,15,false,false,0,false,"东北特味"
116.31,39.94,1241688,4276,46,38,5,15,false,false,0,false,"食邑韩舍石锅拌饭"
116.31,39.94,325764,4214,48,39,6,30,true,false,0,true,"京味斋(北洼路)"
116.31,39.94,1060902,3979,44,37,8,0,true,false,0,false,"张亮麻辣烫(保福寺店)"
116.31,39.94,651617,3946,47,34,3,15,false,false,0,false,"东北老杨麻辣拌"
116.31,39.94,1477504,3770,46,32,3,15,true,false,0,false,"张亮麻辣烫（魏公村店）"
116.31,39.94,1803304,3702,46,35,5,20,false,false,0,false,"李记 凉皮肉夹馍"
116.31,39.94,1081706,3564,48,61,8,0,true,false,0,false,"果腿儿鲜果切"
116.31,39.94,1267029,3526,43,39,5,15,false,false,0,false,"一锅鲜麻辣香锅"
116.31,39.94,2422,3517,43,41,4.5,25,false,false,0,false,"木桶传奇"
116.31,39.94,458637,3516,46,34,3,15,true,false,0,false,"焦耳川式快餐（航天桥店）"
116.31,39.94,1841420,3472,47,34,3,15,false,false,0,false,"张亮麻辣烫（紫竹桥店）"
116.31,39.94,112780,3383,47,30,6,20,true,false,0,true,"嘉和一品粥(北洼路店)"
116.31,39.94,1757868,3303,48,36,3,0,true,false,0,false,"小火慢炖排骨米饭"
116.32000000000001,39.94,971211,9184,45,31,4,15,true,false,0,false,"田老师红烧肉(海淀交大店)"
116.32000000000001,39.94,544,6516,47,45,7,20,true,false,0,true,"金百万美食MALL（万柳店）"
116.32000000000001,39.94,164948,6351,48,61,6,20,true,false,0,false,"果腿儿鲜果切"
116.32000000000001,39.94,19177,5836,47,67,20,0,true,false,0,false,"麻辣诱惑·麻辣小龙虾·麻小外卖"
116.32000000000001,39.94,12721,5749,48,37,26,0,false,false,0,false,"极速汉堡"
116.32000000000001,39.94,998212,5467,47,36,4,20,false,false,0,false,"小俩口烤肉拌饭"
116.32000000000001,39.94,943862,5185,47,68,6,0,true,false,0,false,"老婆很芒"
116.32000000000001,39.94,576322,5009,47,37,6,20,false,false,0,false,"湘香小厨"
116.32000000000001,39.94,339510,4890,46,35,3,15,true,false,0,false,"张亮麻辣烫（厂洼店）"
116.32000000000001,39.94,17765,4707,46,36,4,15,false,false,0,false,"东北特味"
116.32000000000001,39.94,1241688,4276,46,38,4,15,false,false,0,false,"食邑韩舍石锅拌饭"
116.32000000000001,39.94,1060902,3979,44,37,8,0,true,false,0,false,"张亮麻辣烫(保福寺店)"
116.32000000000001,39.94,1675697,3967,47,37,4,15,false,false,0,false,"台式脆皮鸡排饭"
116.32000000000001,39.94,651617,3946,47,34,3,15,false,false,0,false,"东北老杨麻辣拌"
116.32000000000001,39.94,1820333,3913,48,33,4,15,true,false,0,false,"虾饭先生（西直门店）"
116.32000000000001,39.94,1477504,3770,46,32,3,15,true,false,0,false,"张亮麻辣烫（魏公村店）"
116.32000000000001,39.94,98659,3576,46,34,5,15,true,false,0,false,"焦耳川式快餐（华宇店）"
116.32000000000001,39.94,1081706,3564,48,61,8,0,true,false,0,false,"果腿儿鲜果切"
116.32000000000001,39.94,1267029,3526,43,39,4,15,false,false,0,false,"一锅鲜麻辣香锅"
116.32000000000001,39.94,267260,3516,47,30,5,20,true,false,0,true,"田老师红烧肉（魏公村法华寺店）"
