name,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,mtWmPoiId
张姐烤肉拌饭（慈云寺店）,3162,47,35,4,20,false,false,0,false,1107516
阿满家常菜,3103,44,49,6,35,false,false,0,false,571738
眉州小吃（朝阳北路店）,3748,47,30,5,20,true,false,0,true,576642
馍饭传奇（慈云寺店）,3040,46,34,4,20,true,false,0,false,1435005
凉皮先生（大黄庄分店）,3455,47,34,4,20,true,false,0,false,1805575
味风暴煲仔飯（朝阳路店）,3159,48,37,6,20,false,false,0,true,1499038
汉堡王(远洋未来汇店22738),2973,47,38,6,20,true,false,0,true,1528535
张亮麻辣烫（定福庄北���）,5049,47,30,5,15,true,false,0,false,528231
猫眼披萨（定福庄店）,2971,46,30,5,15,false,false,0,false,103250
由氏麻辣香锅（慈云寺店）,2946,44,39,5,20,false,false,0,false,1689429
COCO,2942,48,30,5,15,false,false,0,false,2007101
绿茶餐厅（北京朝阳大悦城店）,2933,45,46,5,20,true,false,0,true,992715
小珺柑串串香•麻辣烫,2907,45,37,4,15,false,false,0,false,1697681
秦源凉皮肉夹馍（十里堡店）,2891,43,40,4,20,false,false,0,false,1517458
大鸭梨烤鸭(左家庄店),6425,45,50,5,20,true,false,0,true,267654
京味斋(新源里店),5099,48,48,6,30,true,false,0,true,271436
石娃最好吃的油泼面,4568,43,40,5,20,false,false,0,false,877116
焦耳·川式快餐（霄云路店）,3359,46,33,4,15,true,false,0,false,1496555
云南过桥米线,3208,46,36,4,15,false,false,0,false,1036792
渝湘缘,3050,44,51,20,78,false,false,0,false,81982
绿茶餐厅（北京世茂工三店）,3048,45,64,7,20,true,false,0,true,992451
粥面故事（东大桥店）,2972,45,40,5,15,true,false,0,false,356463
郭林家常菜（团结湖店）,2789,47,51,6,20,true,false,0,true,716676
麻辣烫馆,2067,45,37,5,20,false,false,0,false,760810
甄膳粮,1969,48,39,6,20,false,false,0,false,2188893
卖虾便当(青年路店),1952,44,36,6,15,true,false,0,false,1391921
田老师红烧肉(石佛营店),2552,45,31,5,20,true,false,0,true,267108
田老师红烧肉（朝阳姚家园店）,2341,46,43,8,20,true,false,0,true,1745572
裸奔披萨,2318,46,57,5,0,true,false,0,false,57025
张亮麻辣烫（酒仙桥店）,3384,47,33,4,15,false,false,0,false,1672132
川湘私厨,2447,41,52,8,50,false,false,0,false,593979
吉野家(八里庄东里店),2333,47,45,7,0,true,false,0,false,337937
回家吃饭,2829,44,43,6,15,false,false,0,false,880720
嘉和一品粥(青年路店),2545,44,39,7,20,true,false,0,true,112753
正宗过桥米线,2121,46,31,6,18,false,false,0,false,379648
古镇过桥米线,2062,45,36,4,15,false,false,0,false,2247861
亚米荟盐酥鸡（未来汇店）,2525,48,40,7,20,true,false,0,true,791320
烤肉拌饭脆皮鸡饭,2862,48,33,5,20,false,false,0,false,1946110
凉皮先生（鲁谷店）,2525,49,32,5,15,true,false,0,false,2166531
卖虾便当(鲁谷路店),2268,45,32,5,15,true,false,0,false,1589131
吉祥馄饨（武警医院店）,2131,47,30,7,20,true,false,0,true,663392
驴肉火烧,2404,47,36,4,20,false,false,0,false,703306
绿茶餐厅（北京凯德晶品店）,4852,46,63,8,20,true,false,0,true,992456
眉州东坡酒楼(石景山店),2067,47,44,7,20,true,false,0,true,311789
眉州小吃（石景山）,4543,48,37,8,20,true,false,0,true,616740
田老师红烧肉(玉泉路店),3994,46,30,6,20,true,false,0,true,584978
田老师红烧肉(鲁谷一店),3359,48,30,6,20,true,false,0,true,267171
好嫂子（永定路店）,2691,48,30,7,20,true,false,0,true,491968
庆丰包子铺（金沟河店）,2673,48,30,7,20,true,false,0,true,486616
和合谷(丰台区青塔店),2426,47,50,7,20,true,false,0,false,97914
吉野家(永定路店),4135,48,45,7,0,true,false,0,false,312119
大粥锅（航天桥工商大学店）,2682,47,30,5,20,false,false,0,true,934487
陕味食族（航天桥店）,2669,47,30,5,20,true,false,0,true,456521
凉皮先生,2611,47,44,4,20,true,false,0,false,848926
鲍记麻辣烫,2290,47,32,3,20,false,false,0,false,650476
辣尚瘾（航天桥店）,2279,48,30,5,20,true,false,0,true,636134
这儿有家冒菜,2799,46,37,3,15,false,false,0,false,1857731
奶盖贡茶（北邮店）,2897,48,39,5,30,false,false,0,false,1927282
聚湘来家常菜,3319,44,37,5,0,false,false,0,false,467897
嘉和一品粥(南草厂店),2424,47,34,8,20,true,false,0,true,112762
魏家凉皮（崇文门店）,2127,48,30,6,15,true,false,0,false,1923250
北京麦当劳西单明珠餐厅,1880,48,35,9,0,true,false,0,false,555787
北京麦当劳���市口餐厅,2654,48,28,9,0,true,false,0,false,555817
凉皮先生（广渠门店）,5305,47,33,7,0,true,false,0,false,2199481
张亮麻辣烫（广渠门店）,5284,45,35,5,0,true,false,0,false,960873
张亮麻辣烫(新世界店),3399,45,31,4,0,true,false,0,false,520880
五食代（东单店）,2944,49,32,5,20,true,false,0,true,654980
成都小吃,3717,44,49,4,20,false,false,0,false,1093068
到底米线（到底小腰烧烤）,4582,46,40,6,15,false,false,0,false,802438
杨国福麻辣烫（天之骄子）,3923,46,37,5,25,true,false,0,false,449519
港式铁板炒饭（国贸店）,3937,47,42,5,20,true,false,0,true,2248916
骨头记排骨米饭套餐,4503,47,40,5,0,false,false,0,false,1687751
凉皮先生（高碑店店）,3565,47,36,4,20,true,false,0,false,1019789
张亮麻辣烫（八角店）,5002,46,32,5,20,true,false,0,true,998870
金百万美食MALL（鲁谷店）,4326,48,30,5,20,true,false,0,true,263943
秦门(鲁谷店),3294,47,30,6,20,true,false,0,true,381805
过桥米线（吴庄店）,2806,45,30,4,15,false,false,0,false,393579
杨国福麻辣烫,2450,46,31,5,20,false,false,0,true,223164
汉堡王(京西珠宝城店22343),2090,48,30,5,20,true,false,0,true,845270
南京大牌档(凯德晶品店),2301,48,44,6,20,true,false,0,true,297828
汤火功夫麻辣烫（荣丰店）,2354,46,34,5,0,false,false,0,false,146885
35秒烤肉拌饭,2918,48,43,7,20,false,false,0,true,2048702
